split,instance,K,method,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_011,1.099300243870112,0.010600242622462104,0.8738888888888888,0.020832662022811047,1.0369796677914942,2.392307006666667
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_034,1.0816920430723493,0.02581135959095608,0.7011111111111111,0.025298707405514712,1.0163703622235574,2.8663499333333333
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_037,1.0816920430723493,0.02581135959095608,0.7011111111111111,0.025298707405514712,1.0163703622235574,2.8399373100000003
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_045,1.0816920430723493,0.02581135959095608,0.7011111111111111,0.025298707405514712,1.0163703622235574,3.495641300000001
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_047,1.0816920430723493,0.02581135959095608,0.7011111111111111,0.025298707405514712,1.0163703622235574,4.495599823333334
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_067,1.0994797469378699,0.009935125182742867,0.8922222222222221,0.018604516555538648,1.031534598178239,6.035130230000001
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_076,1.0994797469378699,0.009935125182742867,0.8922222222222221,0.018604516555538648,1.031534598178239,3.6928911266666673
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_078,1.0994797469378699,0.009935125182742867,0.8922222222222221,0.018604516555538648,1.031534598178239,3.648743616666666
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_084,1.092163537021846,0.015698639954658266,0.7897222222222222,0.024799570669232898,1.0210427319198867,3.1211321733333337
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_086,1.092163537021846,0.015698639954658266,0.7897222222222222,0.024799570669232898,1.0210427319198867,3.061009746666666
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_089,1.092163537021846,0.015698639954658266,0.7897222222222222,0.024799570669232898,1.0210427319198867,4.1493317733333335
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_118,1.0853219050240184,0.021832980052717076,0.8136111111111112,0.02557510084057831,1.0601286981106317,3.9324471066666664
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_131,1.0853219050240184,0.021832980052717076,0.8136111111111112,0.02557510084057831,1.0601286981106317,3.8209299533333327
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_132,1.0853219050240184,0.021832980052717076,0.8136111111111112,0.02557510084057831,1.0601286981106317,3.908895463333334
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_144,1.095546920451116,0.014042423935877428,0.8261111111111111,0.020968794491205766,1.0275587894646985,5.595559123333334
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_159,1.095546920451116,0.014042423935877428,0.8261111111111111,0.020968794491205766,1.0275587894646985,4.483186186666667
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_164,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,3.861625306666667
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_170,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,4.3001401066666665
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_175,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,4.097053466666668
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_189,1.0898230432784544,0.01645381906568747,0.7266666666666667,0.025069570736791693,1.0278106242852203,4.564226363333333
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_200,1.0899341886935794,0.017872382648654712,0.7963888888888889,0.026101798103020945,1.0468675045550166,9.206473373333331
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_223,1.0869291198477238,0.021090236905218423,0.7666666666666667,0.027451950691004676,1.0196512161814024,9.095117163333333
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_234,1.0869291198477238,0.021090236905218423,0.7666666666666667,0.027451950691004676,1.0196512161814024,9.032930653333333
train,syn_n100_k05_cluster_corr_mixed_extreme_events_r03_s20260676,5,theta_237,1.0869291198477238,0.021090236905218423,0.7666666666666667,0.027451950691004676,1.0196512161814024,3.9462207433333334
